Epoch,Training Accuracy,Test Accuracy,Training Loss,Test Loss,Best Accuracy
1,88.70,98.60,0.4112,0.0460,0.00
2,96.16,98.90,0.1262,0.0328,98.60
3,96.90,99.04,0.0986,0.0279,98.90
4,97.23,99.18,0.0890,0.0246,99.04
5,97.46,99.29,0.0811,0.0210,99.18
6,97.58,99.22,0.0749,0.0222,99.29
7,97.81,99.42,0.0709,0.0189,99.29
8,97.91,99.39,0.0659,0.0193,99.42
9,97.88,99.45,0.0647,0.0186,99.42
10,98.04,99.34,0.0623,0.0183,99.45
11,98.13,99.42,0.0592,0.0168,99.45
12,98.24,99.43,0.0551,0.0161,99.45
13,98.16,99.41,0.0574,0.0185,99.45
14,98.26,99.45,0.0546,0.0174,99.45
15,98.37,99.45,0.0530,0.0171,99.45
16,98.35,99.44,0.0532,0.0175,99.45
17,98.36,99.51,0.0510,0.0150,99.45
18,98.37,99.56,0.0512,0.0143,99.51
19,98.42,99.50,0.0501,0.0157,99.56
